Number,Date,Vessel,Incident,Flag,Iranian attack?,Location ,Source1,Source 2,,,,
19,12-Aug-20,Wila,seizure,Liberia,Yes,UAE,Lloyd,https://www.reuters.com/article/usa-iran-tanker/u-s-military-accuses-iranian-forces-of-boarding-liberian-flagged-civilian-ship-idUSL1N2FF010,,,,
20,14-Aug-20,Bella,seizure,Liberia,No,Unconfirmed,https://iranprimer.usip.org/blog/2020/aug/18/us-seizes-iranian-fuel-tankers,Lloyd,,,,
21,14-Aug-20,Bering,seizure,Liberia,No,Unconfirmed,https://iranprimer.usip.org/blog/2020/aug/18/us-seizes-iranian-fuel-tankers,Lloyd,,,,
22,14-Aug-20,Pandi,seizure,Liberia,No,Unconfirmed,https://iranprimer.usip.org/blog/2020/aug/18/us-seizes-iranian-fuel-tankers,Lloyd,,,,
23,14-Aug-20,Luna,seizure,Liberia,No,Unconfirmed,https://iranprimer.usip.org/blog/2020/aug/18/us-seizes-iranian-fuel-tankers,Lloyd,,,,
24,20-Aug-20,Unknown,seizure,UAE,Yes,Persian Gulf (Unconfirmed),Lloyd,https://www.reuters.com/article/us-iran-emirates-ship/iran-says-it-detained-a-uae-ship-and-its-crew-on-monday-state-tv-idUSKBN25G14C,,,,
25,9-Oct-20,Adrian Darya,explosions/sabotage,Iran,No,Mediterranean,Nour News [No corroborating source available],,,,,
26,31-Oct-20,Sarab,explosions/sabotage,Iran,No,Red Sea,Nour News [No corroborating source available],,,,,
27,16-Nov-20,Sahra,explosions/sabotage,Iran,No,Red Sea,Nour News [No corroborating source available],,,,,
28,25-Nov-20,Agrari,explosions/sabotage,Malta,Yes,Red Sea,Lloyd,https://apnews.com/article/dubai-saudi-arabia-united-arab-emirates-jiddah-yemen-79ab505c8576520935bf3e757e2d2b80,,,,
29,14-Dec-20,BW Rhine,explosions/sabotage,Singapore,Yes,Red Sea,Lloyd,https://www.bloomberg.com/news/articles/2020-12-14/fuel-tanker-hit-by-explosion-off-saudi-arabia-near-jeddah,,,,
30,18-Dec-20,Sarab,explosions/sabotage,Iran,No,Red Sea,Nour News [No corroborating source available],,,,,
31,28-Dec-20,Lotus,explosions/sabotage,Iran,No,Red Sea,Nour News [No corroborating source available],,,,,
32,4-Jan-21,Hankuk Chemi,seizure,South Korean,Yes,Strait of Hormuz,Lloyd,https://www.spglobal.com/platts/en/market-insights/latest-news/shipping/010421-irans-irgc-seizes-south-korean-chemical-tanker,,,,
33,25-Feb-21,Lotus,explosions/sabotage,Iran,No,Mediterranean,Nour News [No corroborating source available],,,,,
34,25-Feb-21,MV Helios Ray,explosions/sabotage,Bahamas,Yes,Gulf of Oman,Lloyd,https://www.timesofisrael.com/explosion-hits-israeli-owned-cargo-ship-in-gulf-of-oman-no-injuries/,,,,
